Sample	Basepairs
mouse_110_WT_C	1.4466697847721164
mouse_110_WT_NC	1.3693281012357765
mouse_148_WT_C	1.2032894703929322
mouse_148_WT_NC	1.4191466246898843
mouse_158_WT_C	1.0396479369775518
mouse_158_WT_NC	1.1586215656287386
mouse_183_KOMIR150_C	1.1806489402032811
mouse_183_KOMIR150_NC	1.3453567795241748
mouse_198_KOMIR150_C	1.2177605633330089
mouse_198_KOMIR150_NC	1.142203487651175
mouse_206_KOMIR150_C	1.591984456409601
mouse_206_KOMIR150_NC	2.11017160073894
mouse_2670_KOTet3_C	1.249646669074194
mouse_2670_KOTet3_NC	1.1409177765826188
mouse_7530_KOTet3_C	1.3323539140556124
mouse_7530_KOTet3_NC	1.1976631448568378
mouse_7531_KOTet3_C	1.3095539457325525
mouse_7532_WT_NC	1.2902045237874824
mouse_H510_WT_C	1.310952588069686
mouse_H510_WT_NC	1.1022102948136894
mouse_H514_WT_C	1.737977639124619
mouse_H514_WT_NC	1.1764420274194218
