Sample	Percentage
mouse_110_WT_C	1.4323463215565508
mouse_110_WT_NC	1.355770397263145
mouse_148_WT_C	1.1913757132603289
mouse_148_WT_NC	1.4050956680097864
mouse_158_WT_C	1.029354393047081
mouse_158_WT_NC	1.147150064978949
mouse_183_KOMIR150_C	1.1689593467359218
mouse_183_KOMIR150_NC	1.33203641537047
mouse_198_KOMIR150_C	1.205703528052484
mouse_198_KOMIR150_NC	1.1308945422288863
mouse_206_KOMIR150_C	1.5762222340689118
mouse_206_KOMIR150_NC	2.089278812612812
mouse_2670_KOTet3_C	1.23727392977643
mouse_2670_KOTet3_NC	1.12962156097289
mouse_7530_KOTet3_C	1.3191622911441707
mouse_7530_KOTet3_NC	1.1858050939176612
mouse_7531_KOTet3_C	1.296588065081735
mouse_7532_WT_NC	1.2774302215717646
mouse_H510_WT_C	1.2979728594749365
mouse_H510_WT_NC	1.0912973215977122
mouse_H514_WT_C	1.7207699397273453
mouse_H514_WT_NC	1.164794086553883
