Sample	Percentage
mouse_110_WT_C	10.093778986589525
mouse_110_WT_NC	10.068072128982635
mouse_148_WT_C	8.86993034513925
mouse_148_WT_NC	9.979522232376002
mouse_158_WT_C	7.927105157650383
mouse_158_WT_NC	8.231917789644063
mouse_183_KOMIR150_C	8.706880907847903
mouse_183_KOMIR150_NC	8.808892642488901
mouse_198_KOMIR150_C	8.967144501763773
mouse_198_KOMIR150_NC	8.513525181630916
mouse_206_KOMIR150_C	9.563790398610115
mouse_206_KOMIR150_NC	11.329624393902181
mouse_2670_KOTet3_C	9.231463833544876
mouse_2670_KOTet3_NC	8.409819987978109
mouse_7530_KOTet3_C	9.813649681608002
mouse_7530_KOTet3_NC	8.755150596329177
mouse_7531_KOTet3_C	9.592690264387665
mouse_7532_WT_NC	9.54136844002904
mouse_H510_WT_C	9.421035005537576
mouse_H510_WT_NC	8.020745749567086
mouse_H514_WT_C	11.24114304364628
mouse_H514_WT_NC	8.76936291090143
