Sample	Left Trimmmed	Right Trimmmed
mouse_110_WT_C	0.0003606872175332445	5.823904169256001e-05
mouse_110_WT_NC	0.00041071572396566945	7.61864503990805e-05
mouse_148_WT_C	0.0003701572883880678	7.9211988576047e-05
mouse_148_WT_NC	0.0003329793790238383	6.984963075646103e-05
mouse_158_WT_C	0.000442304667861212	0.00011835657956627316
mouse_158_WT_NC	0.00035125629012889274	8.716932897471787e-05
mouse_183_KOMIR150_C	0.00030998247695339685	0.00010512762284598361
mouse_183_KOMIR150_NC	0.0003063799454317711	7.889815094387937e-05
mouse_198_KOMIR150_C	0.00033942739278364984	9.503294198352931e-05
mouse_198_KOMIR150_NC	0.0003234676996159567	0.00010354217319365047
mouse_206_KOMIR150_C	0.00031646977401846883	0.00011180482693488594
mouse_206_KOMIR150_NC	0.0003198288123343136	9.096429857300607e-05
mouse_2670_KOTet3_C	0.0003685130465845838	9.575535856134855e-05
mouse_2670_KOTet3_NC	0.0003109794330512252	8.982442105962542e-05
mouse_7530_KOTet3_C	0.00036524342967691196	9.113726263325986e-05
mouse_7530_KOTet3_NC	0.00038057984521827046	0.00013434063332438538
mouse_7531_KOTet3_C	0.00047881750063650006	0.00012790557456449067
mouse_7532_WT_NC	0.0003347575646865115	7.493356679114127e-05
mouse_H510_WT_C	0.00034607781499725217	6.255887995166844e-05
mouse_H510_WT_NC	0.0003409465568270279	5.1379853214863735e-05
mouse_H514_WT_C	0.00029192083530935737	4.643330105311811e-05
mouse_H514_WT_NC	0.00031168289240361463	5.9617747154448616e-05
