Sample	0	1	2	3	4	5	6	7	8	9	10
mouse_110_WT_C	('Pipeline Input', 808000000)	('hts_Stats_1', 808000000)	('hts_SeqScreener_1', 807997576)	('hts_SeqScreener_2', 807997576)	('hts_SuperDeduper_1', 513944560)	('hts_AdapterTrimmer_1', 506583094)	('hts_PolyATTrim_1', 506533060)	('hts_NTrimmer_1', 506527440)	('hts_QWindowTrim_1', 503244084)	('hts_LengthFilter_1', 499780326)	('hts_Stats_2', 499780326)
mouse_110_WT_NC	('Pipeline Input', 808000000)	('hts_Stats_1', 808000000)	('hts_SeqScreener_1', 807997576)	('hts_SeqScreener_2', 807997576)	('hts_SuperDeduper_1', 616129694)	('hts_AdapterTrimmer_1', 607776390)	('hts_PolyATTrim_1', 607719611)	('hts_NTrimmer_1', 607712267)	('hts_QWindowTrim_1', 604579504)	('hts_LengthFilter_1', 601303568)	('hts_Stats_2', 601303568)
mouse_148_WT_C	('Pipeline Input', 808000000)	('hts_Stats_1', 808000000)	('hts_SeqScreener_1', 807997980)	('hts_SeqScreener_2', 807997980)	('hts_SuperDeduper_1', 605667710)	('hts_AdapterTrimmer_1', 598451932)	('hts_PolyATTrim_1', 598394269)	('hts_NTrimmer_1', 598386948)	('hts_QWindowTrim_1', 594945012)	('hts_LengthFilter_1', 591327076)	('hts_Stats_2', 591327076)
mouse_148_WT_NC	('Pipeline Input', 808000000)	('hts_Stats_1', 808000000)	('hts_SeqScreener_1', 807998384)	('hts_SeqScreener_2', 807998384)	('hts_SuperDeduper_1', 573612330)	('hts_AdapterTrimmer_1', 565552528)	('hts_PolyATTrim_1', 565500484)	('hts_NTrimmer_1', 565494023)	('hts_QWindowTrim_1', 562186004)	('hts_LengthFilter_1', 558622730)	('hts_Stats_2', 558622730)
mouse_158_WT_C	('Pipeline Input', 808000000)	('hts_Stats_1', 808000000)	('hts_SeqScreener_1', 807998384)	('hts_SeqScreener_2', 807998384)	('hts_SuperDeduper_1', 642887624)	('hts_AdapterTrimmer_1', 636270032)	('hts_PolyATTrim_1', 636213046)	('hts_NTrimmer_1', 636203339)	('hts_QWindowTrim_1', 633131496)	('hts_LengthFilter_1', 630050020)	('hts_Stats_2', 630050020)
mouse_158_WT_NC	('Pipeline Input', 808000000)	('hts_Stats_1', 808000000)	('hts_SeqScreener_1', 807998788)	('hts_SeqScreener_2', 807998788)	('hts_SuperDeduper_1', 588429030)	('hts_AdapterTrimmer_1', 581678866)	('hts_PolyATTrim_1', 581626595)	('hts_NTrimmer_1', 581619521)	('hts_QWindowTrim_1', 578359950)	('hts_LengthFilter_1', 574953687)	('hts_Stats_2', 574953687)
mouse_183_KOMIR150_C	('Pipeline Input', 808000000)	('hts_Stats_1', 808000000)	('hts_SeqScreener_1', 807997980)	('hts_SeqScreener_2', 807997980)	('hts_SuperDeduper_1', 562134690)	('hts_AdapterTrimmer_1', 555563564)	('hts_PolyATTrim_1', 555515272)	('hts_NTrimmer_1', 555508464)	('hts_QWindowTrim_1', 552258286)	('hts_LengthFilter_1', 548795294)	('hts_Stats_2', 548795294)
mouse_183_KOMIR150_NC	('Pipeline Input', 808000000)	('hts_Stats_1', 808000000)	('hts_SeqScreener_1', 807996970)	('hts_SeqScreener_2', 807996970)	('hts_SuperDeduper_1', 429084966)	('hts_AdapterTrimmer_1', 423369398)	('hts_PolyATTrim_1', 423330580)	('hts_NTrimmer_1', 423325117)	('hts_QWindowTrim_1', 420529848)	('hts_LengthFilter_1', 417521352)	('hts_Stats_2', 417521352)
mouse_198_KOMIR150_C	('Pipeline Input', 808000000)	('hts_Stats_1', 808000000)	('hts_SeqScreener_1', 807997576)	('hts_SeqScreener_2', 807997576)	('hts_SuperDeduper_1', 601840820)	('hts_AdapterTrimmer_1', 594584404)	('hts_PolyATTrim_1', 594530684)	('hts_NTrimmer_1', 594523814)	('hts_QWindowTrim_1', 591471029)	('hts_LengthFilter_1', 588289982)	('hts_Stats_2', 588289982)
mouse_198_KOMIR150_NC	('Pipeline Input', 808000000)	('hts_Stats_1', 808000000)	('hts_SeqScreener_1', 807996768)	('hts_SeqScreener_2', 807996768)	('hts_SuperDeduper_1', 622300996)	('hts_AdapterTrimmer_1', 615263428)	('hts_PolyATTrim_1', 615208258)	('hts_NTrimmer_1', 615200301)	('hts_QWindowTrim_1', 612003386)	('hts_LengthFilter_1', 608725421)	('hts_Stats_2', 608725421)
