Sample	Read 2
mouse_110_WT_C	0.00987676071163954
mouse_110_WT_NC	0.009342087144911963
mouse_148_WT_C	0.009635360321637327
mouse_148_WT_NC	0.009202328240675815
mouse_158_WT_C	0.008956260256494368
mouse_158_WT_NC	0.008986229869317618
mouse_183_KOMIR150_C	0.008692434696815358
mouse_183_KOMIR150_NC	0.009168825187502097
mouse_198_KOMIR150_C	0.009034882119107853
mouse_198_KOMIR150_NC	0.008966890845330725
mouse_206_KOMIR150_C	0.010324109784954998
mouse_206_KOMIR150_NC	0.011179466900156022
mouse_2670_KOTet3_C	0.008822416934687093
mouse_2670_KOTet3_NC	0.009138601600478016
mouse_7530_KOTet3_C	0.009430168167490451
mouse_7530_KOTet3_NC	0.009409504460950041
mouse_7531_KOTet3_C	0.009970173207104487
mouse_7532_WT_NC	0.009618752793287244
mouse_H510_WT_C	0.009349325879400306
mouse_H510_WT_NC	0.009162218110244359
mouse_H514_WT_C	0.009609437713421385
mouse_H514_WT_NC	0.01016330150281
