Sample	Left Trimmmed	Right Trimmmed
mouse_110_WT_C	0.07694706529620586	0.5318069244185468
mouse_110_WT_NC	0.0541962072982147	0.4249303725178876
mouse_148_WT_C	0.06060944364047192	0.4793107552873964
mouse_148_WT_NC	0.06153309952844541	0.48690346635193343
mouse_158_WT_C	0.05252723139197482	0.39317288147712787
mouse_158_WT_NC	0.06343855160941203	0.45882744709320034
mouse_183_KOMIR150_C	0.059319168177426725	0.4916000703816458
mouse_183_KOMIR150_NC	0.08161764708140386	0.540939790255819
mouse_198_KOMIR150_C	0.05409001160717172	0.42454211935066405
mouse_198_KOMIR150_NC	0.06063082209057631	0.4229165681113671
mouse_206_KOMIR150_C	0.11284089971053732	0.6829413213749453
mouse_206_KOMIR150_NC	0.11546637074662201	0.7851468974636107
mouse_2670_KOTet3_C	0.05786209194285958	0.4333160282692232
mouse_2670_KOTet3_NC	0.05555092460879883	0.3922904332137076
mouse_7530_KOTet3_C	0.060303177172208365	0.4904624269308638
mouse_7530_KOTet3_NC	0.06141717224191989	0.3999879858430066
mouse_7531_KOTet3_C	0.06904530590567591	0.4782306685519996
mouse_7532_WT_NC	0.05607445416363386	0.4300897471945143
mouse_H510_WT_C	0.06491462164308001	0.47229284590173515
mouse_H510_WT_NC	0.05086758477662397	0.37097690915398335
mouse_H514_WT_C	0.06611316186309364	0.5063702505672297
mouse_H514_WT_NC	0.06625634261817828	0.48012283515503457
