Sample	Paired End
mouse_110_WT_C	0.26235078705236115
mouse_110_WT_NC	0.2846008538025614
mouse_148_WT_C	0.3844259610649027
mouse_148_WT_NC	0.519751039502079
mouse_158_WT_C	0.8617017234034469
mouse_158_WT_NC	0.357350536025804
mouse_183_KOMIR150_C	0.40097600244000614
mouse_183_KOMIR150_NC	0.45232669622511085
mouse_198_KOMIR150_C	0.38475115425346273
mouse_198_KOMIR150_NC	0.7659780639122556
mouse_206_KOMIR150_C	0.288102016714117
mouse_206_KOMIR150_NC	0.32020160100800504
mouse_2670_KOTet3_C	0.21927565782697347
mouse_2670_KOTet3_NC	0.28650093112802616
mouse_7530_KOTet3_C	0.5139519273197274
mouse_7530_KOTet3_NC	0.13135029553816496
mouse_7531_KOTet3_C	0.4391005488756861
mouse_7532_WT_NC	0.3550511539162502
mouse_H510_WT_C	0.26215065537663845
mouse_H510_WT_NC	0.37272639772399146
mouse_H514_WT_C	0.45632625489720097
mouse_H514_WT_NC	0.38477586574569794
