Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
mouse_110_WT_C	(50, 251)	(51, 295)	(52, 300)	(53, 301)	(54, 338)	(55, 344)	(56, 422)	(57, 470)	(58, 565)	(59, 634)	(60, 731)	(61, 754)	(62, 857)	(63, 932)	(64, 982)	(65, 1022)	(66, 1074)	(67, 1245)	(68, 1377)	(69, 1638)	(70, 1795)	(71, 2055)	(72, 2304)	(73, 2409)	(74, 2630)	(75, 2704)	(76, 2887)	(77, 3196)	(78, 3525)	(79, 3930)	(80, 4449)	(81, 5049)	(82, 5629)	(83, 6039)	(84, 6107)	(85, 6609)	(86, 6854)	(87, 7304)	(88, 8160)	(89, 8814)	(90, 9879)	(91, 10946)	(92, 11820)	(93, 12605)	(94, 13426)	(95, 14339)	(96, 15313)	(97, 16877)	(98, 25186)	(99, 27231)	(100, 73625)	(101, 2173408)
mouse_110_WT_NC	(50, 261)	(51, 322)	(52, 332)	(53, 357)	(54, 370)	(55, 466)	(56, 484)	(57, 593)	(58, 628)	(59, 704)	(60, 873)	(61, 940)	(62, 1066)	(63, 1125)	(64, 1173)	(65, 1203)	(66, 1304)	(67, 1555)	(68, 1749)	(69, 1985)	(70, 2198)	(71, 2344)	(72, 2771)	(73, 3015)	(74, 3095)	(75, 3235)	(76, 3526)	(77, 3812)	(78, 4278)	(79, 4891)	(80, 5373)	(81, 6187)	(82, 6697)	(83, 7165)	(84, 7547)	(85, 8079)	(86, 8332)	(87, 9103)	(88, 9882)	(89, 10779)	(90, 11919)	(91, 13157)	(92, 14195)	(93, 14985)	(94, 16140)	(95, 16963)	(96, 18073)	(97, 20080)	(98, 29093)	(99, 31974)	(100, 85375)	(101, 2618858)
mouse_148_WT_C	(50, 268)	(51, 279)	(52, 290)	(53, 298)	(54, 352)	(55, 363)	(56, 447)	(57, 500)	(58, 576)	(59, 609)	(60, 680)	(61, 823)	(62, 812)	(63, 872)	(64, 1026)	(65, 1029)	(66, 1130)	(67, 1314)	(68, 1433)	(69, 1666)	(70, 1797)	(71, 2046)	(72, 2353)	(73, 2528)	(74, 2703)	(75, 2810)	(76, 3065)	(77, 3338)	(78, 3706)	(79, 4088)	(80, 4631)	(81, 5075)	(82, 5669)	(83, 6160)	(84, 6363)	(85, 6799)	(86, 7041)	(87, 7664)	(88, 8528)	(89, 9279)	(90, 10507)	(91, 11404)	(92, 12393)	(93, 12905)	(94, 13835)	(95, 14983)	(96, 16205)	(97, 17913)	(98, 26677)	(99, 29335)	(100, 83954)	(101, 2605802)
mouse_148_WT_NC	(50, 275)	(51, 320)	(52, 334)	(53, 414)	(54, 394)	(55, 419)	(56, 489)	(57, 593)	(58, 663)	(59, 750)	(60, 783)	(61, 937)	(62, 967)	(63, 1022)	(64, 1074)	(65, 1214)	(66, 1294)	(67, 1480)	(68, 1676)	(69, 1802)	(70, 2050)	(71, 2277)	(72, 2507)	(73, 2855)	(74, 2885)	(75, 3110)	(76, 3319)	(77, 3601)	(78, 3960)	(79, 4326)	(80, 4920)	(81, 5498)	(82, 6076)	(83, 6591)	(84, 6894)	(85, 7295)	(86, 7687)	(87, 8199)	(88, 9078)	(89, 9791)	(90, 10949)	(91, 12149)	(92, 12889)	(93, 13630)	(94, 14789)	(95, 15463)	(96, 16497)	(97, 18435)	(98, 26486)	(99, 29460)	(100, 78490)	(101, 2437584)
mouse_158_WT_C	(50, 212)	(51, 250)	(52, 271)	(53, 290)	(54, 295)	(55, 365)	(56, 403)	(57, 423)	(58, 474)	(59, 563)	(60, 694)	(61, 690)	(62, 835)	(63, 802)	(64, 901)	(65, 943)	(66, 1049)	(67, 1172)	(68, 1294)	(69, 1531)	(70, 1684)	(71, 1934)	(72, 2045)	(73, 2229)	(74, 2404)	(75, 2530)	(76, 2752)	(77, 3025)	(78, 3216)	(79, 3794)	(80, 4198)	(81, 4791)	(82, 5266)	(83, 5749)	(84, 5993)	(85, 6322)	(86, 6811)	(87, 7274)	(88, 7938)	(89, 8687)	(90, 9966)	(91, 10861)	(92, 12121)	(93, 12544)	(94, 13549)	(95, 14675)	(96, 15929)	(97, 17924)	(98, 27671)	(99, 30329)	(100, 95306)	(101, 2792497)
mouse_158_WT_NC	(50, 243)	(51, 330)	(52, 312)	(53, 319)	(54, 356)	(55, 383)	(56, 460)	(57, 501)	(58, 526)	(59, 619)	(60, 689)	(61, 800)	(62, 787)	(63, 869)	(64, 949)	(65, 1011)	(66, 1038)	(67, 1160)	(68, 1377)	(69, 1573)	(70, 1669)	(71, 1882)	(72, 2147)	(73, 2176)	(74, 2405)	(75, 2560)	(76, 2724)	(77, 2907)	(78, 3194)	(79, 3717)	(80, 4039)	(81, 4594)	(82, 5103)	(83, 5475)	(84, 5677)	(85, 5987)	(86, 6510)	(87, 6831)	(88, 7535)	(89, 8377)	(90, 9156)	(91, 10195)	(92, 11093)	(93, 11604)	(94, 12712)	(95, 13555)	(96, 14757)	(97, 16501)	(98, 25401)	(99, 28077)	(100, 81071)	(101, 2547972)
mouse_183_KOMIR150_C	(50, 255)	(51, 244)	(52, 301)	(53, 298)	(54, 307)	(55, 366)	(56, 411)	(57, 472)	(58, 501)	(59, 575)	(60, 703)	(61, 717)	(62, 793)	(63, 807)	(64, 829)	(65, 903)	(66, 1042)	(67, 1131)	(68, 1265)	(69, 1540)	(70, 1651)	(71, 1887)	(72, 2080)	(73, 2331)	(74, 2309)	(75, 2489)	(76, 2680)	(77, 2828)	(78, 3084)	(79, 3732)	(80, 4182)	(81, 4584)	(82, 5261)	(83, 5504)	(84, 5761)	(85, 6214)	(86, 6500)	(87, 7070)	(88, 7870)	(89, 8464)	(90, 9432)	(91, 10431)	(92, 11205)	(93, 11883)	(94, 12679)	(95, 13682)	(96, 14789)	(97, 16345)	(98, 24278)	(99, 26549)	(100, 72283)	(101, 2428682)
mouse_183_KOMIR150_NC	(50, 221)	(51, 256)	(52, 240)	(53, 240)	(54, 245)	(55, 294)	(56, 276)	(57, 368)	(58, 417)	(59, 449)	(60, 469)	(61, 594)	(62, 636)	(63, 574)	(64, 678)	(65, 708)	(66, 784)	(67, 932)	(68, 1037)	(69, 1193)	(70, 1240)	(71, 1434)	(72, 1582)	(73, 1654)	(74, 1818)	(75, 1813)	(76, 2121)	(77, 2200)	(78, 2432)	(79, 2743)	(80, 3080)	(81, 3374)	(82, 3822)	(83, 4181)	(84, 4378)	(85, 4655)	(86, 4836)	(87, 5374)	(88, 5849)	(89, 6281)	(90, 7216)	(91, 7929)	(92, 8595)	(93, 8840)	(94, 9596)	(95, 10248)	(96, 11124)	(97, 12705)	(98, 18777)	(99, 21315)	(100, 56954)	(101, 1845809)
mouse_198_KOMIR150_C	(50, 276)	(51, 291)	(52, 292)	(53, 332)	(54, 336)	(55, 350)	(56, 411)	(57, 480)	(58, 630)	(59, 625)	(60, 704)	(61, 781)	(62, 833)	(63, 815)	(64, 923)	(65, 1095)	(66, 1101)	(67, 1303)	(68, 1425)	(69, 1605)	(70, 2039)	(71, 2006)	(72, 2334)	(73, 2531)	(74, 2678)	(75, 2792)	(76, 2979)	(77, 3312)	(78, 3665)	(79, 4082)	(80, 4580)	(81, 5130)	(82, 5507)	(83, 6023)	(84, 6553)	(85, 6846)	(86, 7274)	(87, 7825)	(88, 8658)	(89, 9062)	(90, 10577)	(91, 11391)	(92, 12435)	(93, 12986)	(94, 14060)	(95, 15038)	(96, 16133)	(97, 17854)	(98, 26309)	(99, 29297)	(100, 80578)	(101, 2593561)
mouse_198_KOMIR150_NC	(50, 276)	(51, 248)	(52, 301)	(53, 286)	(54, 317)	(55, 335)	(56, 399)	(57, 485)	(58, 516)	(59, 626)	(60, 640)	(61, 696)	(62, 818)	(63, 867)	(64, 921)	(65, 1008)	(66, 1105)	(67, 1282)	(68, 1359)	(69, 1619)	(70, 1849)	(71, 2051)	(72, 2239)	(73, 2392)	(74, 2552)	(75, 2801)	(76, 2995)	(77, 3174)	(78, 3577)	(79, 4060)	(80, 4389)	(81, 4994)	(82, 5600)	(83, 5936)	(84, 6255)	(85, 6663)	(86, 7079)	(87, 7636)	(88, 8398)	(89, 9027)	(90, 10294)	(91, 11310)	(92, 12310)	(93, 12916)	(94, 13839)	(95, 15021)	(96, 15987)	(97, 18095)	(98, 27048)	(99, 30039)	(100, 87942)	(101, 2688701)
