Sample	% R1 Q30	% R2 Q30	GC Content	N Content
mouse_110_WT_C	95.86698727158979	93.25175136934376	50.19993584141206	0.0
mouse_110_WT_NC	96.09131449312541	94.4623878452306	50.249386013954265	0.0
mouse_148_WT_C	96.0294185630787	94.02489292699943	49.91990659328442	0.0
mouse_148_WT_NC	96.0416493999909	94.08508305573038	50.16239922782949	0.0
mouse_158_WT_C	95.61936848873135	93.93272974304645	49.98921926865425	0.0
mouse_158_WT_NC	95.86554915522363	93.71110544181003	50.2140041063864	0.0
mouse_183_KOMIR150_C	96.28191932397057	94.39877276277987	50.18784782072129	0.0
mouse_183_KOMIR150_NC	96.02051997146604	93.45999824048067	50.40864329257106	0.0
mouse_198_KOMIR150_C	96.19750613700823	94.54037308490226	50.23209251249837	0.0
mouse_198_KOMIR150_NC	95.82630233949226	93.79407881263965	50.35022186136038	0.0
mouse_206_KOMIR150_C	95.1843016386183	92.17216508819862	50.00862126547161	0.0
mouse_206_KOMIR150_NC	95.14989837932937	92.00394016772385	50.23233169216319	0.0
mouse_2670_KOTet3_C	95.80216032246157	93.96947404666011	50.03631584324418	0.0
mouse_2670_KOTet3_NC	95.72441155600679	94.01167368255496	50.01672357917312	0.0
mouse_7530_KOTet3_C	96.0772088101357	94.09334952193994	49.8654254815322	0.0
mouse_7530_KOTet3_NC	95.19251849579993	92.74746147764762	49.82690820042284	0.0
mouse_7531_KOTet3_C	95.6948421095686	93.05291525116975	49.7403210092693	0.0
mouse_7532_WT_NC	96.19590077927816	94.52233916466768	49.83821221352539	0.0
mouse_H510_WT_C	95.97704831051773	93.96964433566787	49.8458323652928	0.0
mouse_H510_WT_NC	96.0262621681576	94.70684069870218	49.75915383818093	0.0
mouse_H514_WT_C	96.12313608856311	94.19627254911018	49.82547998823696	0.0
mouse_H514_WT_NC	95.98913591448537	93.52711127749794	49.73874842957712	0.0
