Sample	0	1	2	3
mouse_110_WT_C	(1000000, 720573)	(2000000, 1370680)	(3000000, 1974754)	(3999988, 2544511)
mouse_110_WT_NC	(1000000, 831578)	(2000000, 1607683)	(3000000, 2344649)	(3999988, 3050333)
mouse_148_WT_C	(1000000, 816846)	(2000000, 1579743)	(3000000, 2302676)	(3999990, 2998500)
mouse_148_WT_NC	(1000000, 786130)	(2000000, 1507586)	(3000000, 2189646)	(3999992, 2839913)
mouse_158_WT_C	(1000000, 856626)	(2000000, 1675979)	(3000000, 2444931)	(3999992, 3182767)
mouse_158_WT_NC	(1000000, 799986)	(2000000, 1539843)	(3000000, 2241788)	(3999994, 2913221)
mouse_183_KOMIR150_C	(1000000, 792759)	(2000000, 1504457)	(3000000, 2165218)	(3999990, 2783030)
mouse_183_KOMIR150_NC	(1000000, 627843)	(2000000, 1172730)	(3000000, 1669036)	(3999985, 2124368)
mouse_198_KOMIR150_C	(1000000, 815275)	(2000000, 1568793)	(3000000, 2288642)	(3999988, 2979667)
mouse_198_KOMIR150_NC	(1000000, 839823)	(2000000, 1629853)	(3000000, 2370758)	(3999984, 3080821)
mouse_206_KOMIR150_C	(1000000, 468208)	(2000000, 875558)	(3000000, 1255042)	(3999972, 1619924)
mouse_206_KOMIR150_NC	(1000000, 415414)	(2000000, 731606)	(3000000, 992770)	(3999980, 1217632)
mouse_2670_KOTet3_C	(1000000, 836559)	(2000000, 1632955)	(3000000, 2383122)	(3999988, 3109803)
mouse_2670_KOTet3_NC	(1000000, 852581)	(2000000, 1657213)	(3000000, 2421694)	(3999987, 3161044)
mouse_7530_KOTet3_C	(1000000, 797507)	(2000000, 1533865)	(3000000, 2227248)	(3999985, 2890350)
mouse_7530_KOTet3_NC	(1000000, 850265)	(2000000, 1671063)	(3000000, 2460279)	(3999991, 3215099)
mouse_7531_KOTet3_C	(1000000, 817936)	(2000000, 1597839)	(3000000, 2327405)	(3999995, 3027640)
mouse_7532_WT_NC	(1000000, 836098)	(2000000, 1614861)	(3000000, 2359084)	(3999987, 3078824)
mouse_H510_WT_C	(1000000, 785249)	(2000000, 1511404)	(3000000, 2205429)	(3999990, 2878746)
mouse_H510_WT_NC	(1000000, 849107)	(2000000, 1645873)	(3000000, 2412318)	(3999985, 3156748)
mouse_H514_WT_C	(1000000, 720951)	(2000000, 1387987)	(3000000, 2025465)	(3999989, 2647393)
mouse_H514_WT_NC	(1000000, 831068)	(2000000, 1604248)	(3000000, 2344323)	(3999991, 3058745)
