Sample	0	1	2	3
mouse_110_WT_C	(25.000075000225003, 6.985695957087872)	(50.000150000450006, 15.733047199141598)	(75.000225000675, 25.63122689368068)	(100.0, 36.387034161102484)
mouse_110_WT_NC	(25.000075000225003, 4.210562631687895)	(50.000150000450006, 9.807954423863272)	(75.000225000675, 16.383824151472453)	(100.0, 23.741446224338674)
mouse_148_WT_C	(25.00006250015625, 4.578861447153618)	(50.0001250003125, 10.506451266128165)	(75.00018750046875, 17.433143582858957)	(100.0, 25.037312593281484)
mouse_148_WT_NC	(25.0000500001, 5.346760693521388)	(50.0001000002, 12.310374620749242)	(75.00015000030001, 20.258890517781037)	(100.0, 29.002033004066007)
mouse_158_WT_C	(25.0000500001, 3.5843571687143374)	(50.0001000002, 8.100541201082402)	(75.00015000030001, 13.876752753505507)	(100.0, 20.430665861331722)
mouse_158_WT_NC	(25.000037500056248, 5.000357500536251)	(50.000075000112496, 11.503942255913383)	(75.00011250016875, 18.955328432992648)	(100.0, 27.16936575404863)
mouse_183_KOMIR150_C	(25.00006250015625, 5.181037952594882)	(50.0001250003125, 12.388605971514929)	(75.00018750046875, 20.869602174005436)	(100.0, 30.424076060190153)
mouse_183_KOMIR150_NC	(25.000093750351564, 9.303959889849587)	(50.00018750070313, 20.68182755685334)	(75.00028125105469, 33.27422477834292)	(100.0, 46.89060083975315)
mouse_198_KOMIR150_C	(25.000075000225003, 4.618138854416563)	(50.000150000450006, 10.780207340622022)	(75.000225000675, 17.784003352010057)	(100.0, 25.50810152430457)
mouse_198_KOMIR150_NC	(25.0001000004, 4.004441017764071)	(50.0002000008, 9.253712014848059)	(75.0003000012, 15.731112924451699)	(100.0, 22.97916691666767)
mouse_206_KOMIR150_C	(25.00017500122501, 13.29489306425145)	(50.00035000245002, 28.11124677872745)	(75.00052500367502, 43.62425536978759)	(100.0, 59.50161651131558)
mouse_206_KOMIR150_NC	(25.000125000625, 14.614723073615368)	(50.00025000125, 31.71000855004275)	(75.00037500187501, 50.181000905004524)	(100.0, 69.55904779523897)
mouse_2670_KOTet3_C	(25.000075000225003, 4.086037258111775)	(50.000150000450006, 9.176152528457585)	(75.000225000675, 15.421996265988797)	(100.0, 22.254691764075293)
mouse_2670_KOTet3_NC	(25.00008125026406, 3.6854869778326775)	(50.00016250052812, 8.569702851534268)	(75.0002437507922, 14.45769698751521)	(100.0, 20.973643164340285)
mouse_7530_KOTet3_C	(25.000093750351564, 5.0623439837899395)	(50.00018750070313, 11.653418700320126)	(75.00028125105469, 19.31887244577167)	(100.0, 27.740979028671358)
mouse_7530_KOTet3_NC	(25.000056250126562, 3.7433834226127014)	(50.000112500253124, 8.22344350274788)	(75.00016875037969, 13.493055359374559)	(100.0, 19.622344150274337)
mouse_7531_KOTet3_C	(25.00003125003906, 4.551605689507112)	(50.00006250007812, 10.05403756754696)	(75.00009375011719, 16.814896018620022)	(100.0, 24.308905386131734)
mouse_7532_WT_NC	(25.00008125026406, 4.09756331708078)	(50.00016250052812, 9.62850629264545)	(75.0002437507922, 16.022952074594244)	(100.0, 23.029149844736995)
mouse_H510_WT_C	(25.00006250015625, 5.368788421971055)	(50.0001250003125, 12.214930537326344)	(75.00018750046875, 19.864324660811654)	(100.0, 28.031170077925193)
mouse_H510_WT_NC	(25.000093750351564, 3.7723391462717983)	(50.00018750070313, 8.853208199530748)	(75.00028125105469, 14.692105095394108)	(100.0, 21.081004053765202)
mouse_H514_WT_C	(25.000068750189065, 6.976244184671508)	(50.00013750037813, 15.300367076009458)	(75.00020625056719, 24.3634419994655)	(100.0, 33.814992991230724)
mouse_H514_WT_NC	(25.000056250126562, 4.22330950244638)	(50.000112500253124, 9.893822261100087)	(75.00016875037969, 16.391961881914234)	(100.0, 23.531202945206626)
