Module	Section	Sample Name	Source
HTStream	all_sections	mouse_110_WT_C	/share/workshop/original_dataset/01-HTS_Preproc/mouse_110_WT_C/mouse_110_WT_C.json
HTStream	all_sections	mouse_110_WT_NC	/share/workshop/original_dataset/01-HTS_Preproc/mouse_110_WT_NC/mouse_110_WT_NC.json
HTStream	all_sections	mouse_148_WT_C	/share/workshop/original_dataset/01-HTS_Preproc/mouse_148_WT_C/mouse_148_WT_C.json
HTStream	all_sections	mouse_148_WT_NC	/share/workshop/original_dataset/01-HTS_Preproc/mouse_148_WT_NC/mouse_148_WT_NC.json
HTStream	all_sections	mouse_158_WT_C	/share/workshop/original_dataset/01-HTS_Preproc/mouse_158_WT_C/mouse_158_WT_C.json
HTStream	all_sections	mouse_158_WT_NC	/share/workshop/original_dataset/01-HTS_Preproc/mouse_158_WT_NC/mouse_158_WT_NC.json
HTStream	all_sections	mouse_183_KOMIR150_C	/share/workshop/original_dataset/01-HTS_Preproc/mouse_183_KOMIR150_C/mouse_183_KOMIR150_C.json
HTStream	all_sections	mouse_183_KOMIR150_NC	/share/workshop/original_dataset/01-HTS_Preproc/mouse_183_KOMIR150_NC/mouse_183_KOMIR150_NC.json
HTStream	all_sections	mouse_198_KOMIR150_C	/share/workshop/original_dataset/01-HTS_Preproc/mouse_198_KOMIR150_C/mouse_198_KOMIR150_C.json
HTStream	all_sections	mouse_198_KOMIR150_NC	/share/workshop/original_dataset/01-HTS_Preproc/mouse_198_KOMIR150_NC/mouse_198_KOMIR150_NC.json
HTStream	all_sections	mouse_206_KOMIR150_C	/share/workshop/original_dataset/01-HTS_Preproc/mouse_206_KOMIR150_C/mouse_206_KOMIR150_C.json
HTStream	all_sections	mouse_206_KOMIR150_NC	/share/workshop/original_dataset/01-HTS_Preproc/mouse_206_KOMIR150_NC/mouse_206_KOMIR150_NC.json
HTStream	all_sections	mouse_2670_KOTet3_C	/share/workshop/original_dataset/01-HTS_Preproc/mouse_2670_KOTet3_C/mouse_2670_KOTet3_C.json
HTStream	all_sections	mouse_2670_KOTet3_NC	/share/workshop/original_dataset/01-HTS_Preproc/mouse_2670_KOTet3_NC/mouse_2670_KOTet3_NC.json
HTStream	all_sections	mouse_7530_KOTet3_C	/share/workshop/original_dataset/01-HTS_Preproc/mouse_7530_KOTet3_C/mouse_7530_KOTet3_C.json
HTStream	all_sections	mouse_7530_KOTet3_NC	/share/workshop/original_dataset/01-HTS_Preproc/mouse_7530_KOTet3_NC/mouse_7530_KOTet3_NC.json
HTStream	all_sections	mouse_7531_KOTet3_C	/share/workshop/original_dataset/01-HTS_Preproc/mouse_7531_KOTet3_C/mouse_7531_KOTet3_C.json
HTStream	all_sections	mouse_7532_WT_NC	/share/workshop/original_dataset/01-HTS_Preproc/mouse_7532_WT_NC/mouse_7532_WT_NC.json
HTStream	all_sections	mouse_H510_WT_C	/share/workshop/original_dataset/01-HTS_Preproc/mouse_H510_WT_C/mouse_H510_WT_C.json
HTStream	all_sections	mouse_H510_WT_NC	/share/workshop/original_dataset/01-HTS_Preproc/mouse_H510_WT_NC/mouse_H510_WT_NC.json
HTStream	all_sections	mouse_H514_WT_C	/share/workshop/original_dataset/01-HTS_Preproc/mouse_H514_WT_C/mouse_H514_WT_C.json
HTStream	all_sections	mouse_H514_WT_NC	/share/workshop/original_dataset/01-HTS_Preproc/mouse_H514_WT_NC/mouse_H514_WT_NC.json
